"Canonical_Employer_Key","Employer_Display_Name","Canonical_Industry","Record_Count","Original_Name_Count","Original_Key_Count","Original_Industry_Count","Original_Names","Original_Keys","Original_Industries"
"GREAT AMERICAN INSURANCE GROUP","Great American Insurance Group","Insurance","354","1","1","1","Great American Insurance Group","GREAT AMERICAN INSURANCE GROUP","Insurance"
"KROGER","Kroger","Retail Stores","232","4","2","1","Kroger | Kroger Co | The Kroger Co | The Kroger Company","KROGER | THE KROGER","Retail Stores"
"PHILLIPS EDISON AND","Phillips Edison & Company","Real Estate","176","1","1","1","Phillips Edison & Company","PHILLIPS EDISON AND","Real Estate"
"FIFTH THIRD BANK","Fifth Third Bank","Financial Services","130","1","1","1","Fifth Third Bank","FIFTH THIRD BANK","Financial Services"
"AMEND CONSULTING","AMEND Consulting","Management Consulting","126","1","1","2","AMEND Consulting","AMEND CONSULTING","Management Consulting | NGO"
"UNIVERSITY OF CINCINNATI","University of Cincinnati","Higher Education","112","1","1","2","University of Cincinnati","UNIVERSITY OF CINCINNATI","Higher Education | Other Industries"
"MEDPACE","Medpace, Inc","Research","98","2","1","1","Medpace | Medpace, Inc","MEDPACE","Research"
"DELTA AIR LINES","Delta Air Lines, Inc","Aerospace","89","2","1","1","Delta Air Lines | Delta Air Lines, Inc","DELTA AIR LINES","Aerospace"
"GE AVIATION","GE Aviation","Aerospace","89","1","1","1","GE Aviation","GE AVIATION","Aerospace"
"PAYCOR","Paycor","Internet & Software","87","2","1","1","Paycor | Paycor Inc","PAYCOR","Internet & Software"
"RELIABLE TRANSPORTATION SOLUTIONS","Reliable Transportation Solutions","Transportation & Logistics","87","1","1","1","Reliable Transportation Solutions","RELIABLE TRANSPORTATION SOLUTIONS","Transportation & Logistics"
"CINCINNATI INSURANCE COMPANIES","The Cincinnati Insurance Companies","Insurance","82","1","1","1","The Cincinnati Insurance Companies","THE CINCINNATI INSURANCE COMPANIES","Insurance"
"EY","EY","Accounting","76","2","1","2","EY | EY LLP","EY","Accounting | Management Consulting"
"DELOITTE","Deloitte","Management Consulting","74","2","1","2","Deloitte | Deloitte LLP","DELOITTE","Management Consulting | Other Industries"
"PROCTER AND GAMBLE","Procter & Gamble (P&G)","CPG - Consumer Packaged Goods","74","2","2","1","Procter & Gamble (P&G) | Procter and Gamble","PROCTER AND GAMBLE | PROCTER AND GAMBLE PANDG","CPG - Consumer Packaged Goods"
"FLYNN AND COMPANY INC CPAS AND BUSINESS CONSULTANTS","Flynn & Company, Inc. CPAs & Business Consultants","Accounting","66","1","1","1","Flynn & Company, Inc. CPAs & Business Consultants","FLYNN AND COMPANY INC CPAS AND BUSINESS CONSULTANTS","Accounting"
"WESTERN AND SOUTHERN FINANCIAL GROUP","Western & Southern Financial Group","Financial Services","66","1","1","2","Western & Southern Financial Group","WESTERN AND SOUTHERN FINANCIAL GROUP","Accounting | Financial Services"
"FISCHER HOMES","Fischer Homes","Real Estate","62","1","1","2","Fischer Homes","FISCHER HOMES","Other Industries | Real Estate"
"AMERICAN MODERN INSURANCE GROUP","American Modern Insurance Group","Insurance","59","1","1","1","American Modern Insurance Group","AMERICAN MODERN INSURANCE GROUP","Insurance"
"FIDELITY INVESTMENTS","Fidelity Investments","Financial Services","57","1","1","1","Fidelity Investments","FIDELITY INVESTMENTS","Financial Services"
"MERITOR","Meritor","Automotive","57","2","1","1","Meritor | Meritor, Inc","MERITOR","Automotive"
"CLARK SCHAEFER HACKETT","Clark Schaefer Hackett","Accounting","56","1","1","1","Clark Schaefer Hackett","CLARK SCHAEFER HACKETT","Accounting"
"GE APPLIANCES","GE Appliances","Manufacturing","56","1","1","1","GE Appliances","GE APPLIANCES","Manufacturing"
