Employer_Key,Total_Coop_Records,Completed_Approved_Records,Avg_Hourly_Wage,First_Year,Last_Year,Years_Active,Seasons_Active,Majors_Served,Industries_Served,Remote_Rate,Relationship_Type,CPT_Record_Count,CPT_Flag,OPT_Record_Count,OPT_Flag,International_Student_Friendly
1628,10,10,14.5,2021.0,2023.0,3,3,3,2,0.0,Repeated Employer,0,0,0,0,No
1800 WATER DAMAGE,1,1,17.0,2024.0,2024.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
1819 INNOVATION HUB,2,2,12.0,2021.0,2021.0,1,2,2,1,0.0,New/Occasional Employer,1,1,0,0,Yes
1N5,1,1,7.5,2021.0,2021.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
1ST DAY SCHOOL SUPPLIES,5,1,18.0,2024.0,2024.0,1,1,2,1,0.0,New/Occasional Employer,0,0,0,0,No
1ST NATIONAL BANK,3,3,13.666666666666666,2021.0,2025.0,2,2,2,1,0.0,New/Occasional Employer,0,0,0,0,No
2060 DIGITAL,6,6,22.666666666666668,2021.0,2024.0,3,2,2,1,0.0,Repeated Employer,1,1,1,1,Yes
2J SUPPLY HVAC DISTRIBUTOR,1,1,17.0,2023.0,2023.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
3 BYT PLASTIC,1,1,17.0,2024.0,2024.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
360CARE,1,1,16.0,2024.0,2024.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
365 WEALTH MANAGEMENT,1,1,15.0,2021.0,2021.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
380 FORCE SUPPORT LODGING,1,1,17.0,2025.0,2025.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
3CDC,27,25,15.186666666666667,2020.0,2026.0,6,3,7,2,0.0,Repeated Employer,0,0,0,0,No
4 ENTERTAINMENT GROUP,1,1,15.0,2022.0,2022.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
4EG,1,1,17.0,2022.0,2022.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
4TH FLOOR CREATIVE,1,1,50.0,2021.0,2021.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
53RDS,1,1,18.0,2021.0,2021.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
5TH 3RD,1,1,17.0,2025.0,2025.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
614 POOLS,1,1,15.0,2021.0,2021.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
740YCRYO,1,1,12.0,2020.0,2020.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
7HILLS CHURCH,1,1,17.0,2024.0,2024.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
80 ACRES FARMS,4,4,35.75,2020.0,2024.0,3,3,3,1,0.0,Repeated Employer,0,0,0,0,No
828 LOGISTICS,2,2,17.5,2021.0,2021.0,1,1,2,2,0.0,New/Occasional Employer,0,0,0,0,No
8451Â,41,40,19.317073170731707,2020.0,2026.0,7,3,8,2,0.0,Repeated Employer,0,0,0,0,No
9 ROUND FITNESS,2,2,12.0,2020.0,2021.0,2,2,1,1,0.0,New/Occasional Employer,0,0,0,0,No
99 EXPOSURE,3,3,11.0,2021.0,2022.0,2,1,2,2,0.0,New/Occasional Employer,0,0,0,0,No
A KID AGAIN,2,2,12.88,2022.0,2022.0,1,2,1,1,0.0,New/Occasional Employer,0,0,0,0,No
A KID AGAIN SOUTHWEST OHIO,1,1,17.0,2021.0,2021.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
A P SCHWEITZER TAX SERVICE,1,1,23.0,2025.0,2025.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
A1 QUALITY LOGISTICAL SOLUTIONS,1,1,15.0,2021.0,2021.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
AAA CLUB ALLIANCE,1,1,18.0,2023.0,2023.0,1,1,1,1,0.0,New/Occasional Employer,1,1,0,0,Yes
AAR AIRCRAFT SERVICES,2,1,16.0,2023.0,2023.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
ABACUS ACCOUNTING AND TAX SERVICE,2,0,28.5,2020.0,2021.0,2,2,1,1,0.0,New/Occasional Employer,0,0,0,0,No
ABAQ AL EBDAA TRAD AND CONT,1,1,17.0,2023.0,2023.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
ABBOTT,2,1,24.5,2023.0,2026.0,2,1,2,2,0.0,New/Occasional Employer,0,0,0,0,No
ABBVIE,1,1,20.0,2022.0,2022.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
ABC FITNESS SOLUTIONS,1,1,18.0,2025.0,2025.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
ABCO SAFETY,1,1,16.0,2023.0,2023.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
ABERCROMBIE AND FITCH,1,1,17.3,2024.0,2024.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
ABRE,2,2,16.5,2020.0,2021.0,2,2,1,1,0.0,New/Occasional Employer,0,0,0,0,No
ABS TECHNOLOGY JOINT STOCK,1,1,25.0,2026.0,2026.0,1,1,1,1,0.0,New/Occasional Employer,1,1,0,0,Yes
ABSOLUTE CONSULTING,1,1,75.0,2020.0,2020.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
ACCENTURE,10,10,28.4,2021.0,2024.0,4,1,7,2,0.0,Repeated Employer,0,0,1,1,Yes
ACCO BRANDS,5,5,15.5,2021.0,2023.0,3,3,1,1,0.0,Repeated Employer,0,0,0,0,No
ACKERMANN GROUP,1,1,15.0,2022.0,2022.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
ACRALOC,1,0,66.67,2022.0,2022.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
ACTIVITIES BEYOND THE CLASSROOM,4,3,13.715,2025.0,2026.0,2,3,1,1,0.0,New/Occasional Employer,0,0,0,0,No
ADAM WORRELL STATE FARM,1,1,18.0,2024.0,2024.0,1,1,1,1,0.0,New/Occasional Employer,0,0,0,0,No
