"Employer_Key","Employer_Display_Name","Total_Coop_Records","Completed_Approved_Records","Avg_Hourly_Wage","First_Year","Last_Year","Years_Active","Seasons_Active","Majors_Served","Industries_Served","Remote_Rate","Relationship_Type","CPT_Record_Count","CPT_Flag","OPT_Record_Count","OPT_Flag","International_Student_Friendly"
"1628","1628 Ltd","10","10","14.5","2021","2023","3","3","3","1","0","Repeated Employer","0","0","0","0","No"
"1800 WATER DAMAGE","1-800 WATER DAMAGE","1","1","17","2024","2024","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"1819 INNOVATION HUB","1819 Innovation Hub","2","2","12","2021","2021","1","2","2","0","0","New/Occasional Employer","1","1","0","0","Yes"
"1N5","1N5","1","1","7.5","2021","2021","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"1ST DAY SCHOOL SUPPLIES","1st Day School Supplies","5","1","18","2024","2024","1","1","2","1","0","New/Occasional Employer","0","0","0","0","No"
"1ST NATIONAL BANK","1st National Bank","3","3","13.6666666666667","2021","2025","2","2","2","1","0","New/Occasional Employer","0","0","0","0","No"
"2060 DIGITAL","2060 Digital, LLC","6","6","22.6666666666667","2021","2024","3","2","2","1","0","Repeated Employer","1","1","1","1","Yes"
"2J SUPPLY HVAC DISTRIBUTOR","2J Supply HVAC Distributor","1","1","17","2023","2023","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"3 BYT PLASTIC","3 BYT Plastic","1","1","17","2024","2024","1","1","1","0","0","New/Occasional Employer","0","0","0","0","No"
"360CARE","360care","1","1","16","2024","2024","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"365 WEALTH MANAGEMENT","365 Wealth Management","1","1","15","2021","2021","1","1","1","0","0","New/Occasional Employer","0","0","0","0","No"
"380 FORCE SUPPORT LODGING","380 Force Support Lodging","1","1","17","2025","2025","1","1","1","0","0","New/Occasional Employer","0","0","0","0","No"
"3CDC","3CDC","27","25","15.1664","2020","2026","6","3","7","1","0","Repeated Employer","0","0","0","0","No"
"4 ENTERTAINMENT GROUP","4 Entertainment Group","1","1","15","2022","2022","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"4EG","4EG","1","1","17","2022","2022","1","1","1","0","0","New/Occasional Employer","0","0","0","0","No"
"4TH FLOOR CREATIVE","4th Floor Creative","1","1","50","2021","2021","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"53RDS","5/3rds","1","1","18","2021","2021","1","1","1","0","0","New/Occasional Employer","0","0","0","0","No"
"5TH 3RD","5th 3rd","1","1","17","2025","2025","1","1","1","0","0","New/Occasional Employer","0","0","0","0","No"
"614 POOLS","614 Pools","1","1","15","2021","2021","1","1","1","0","0","New/Occasional Employer","0","0","0","0","No"
"740YCRYO","740YCryo","1","1","12","2020","2020","1","1","1","0","0","New/Occasional Employer","0","0","0","0","No"
"7HILLS CHURCH","7Hills Church","1","1","17","2024","2024","1","1","1","0","0","New/Occasional Employer","0","0","0","0","No"
"80 ACRES FARMS","80 Acres Farms","4","4","35.75","2020","2024","3","3","3","1","0","Repeated Employer","0","0","0","0","No"
"828 LOGISTICS","828 Logistics","2","2","17.5","2021","2021","1","1","2","1","0","New/Occasional Employer","0","0","0","0","No"
"8451A","84.51Â°","41","40","19.35","2020","2026","7","3","8","1","0","Repeated Employer","0","0","0","0","No"
"9 ROUND FITNESS","9 Round Fitness","2","2","12","2020","2021","2","2","1","0","0","New/Occasional Employer","0","0","0","0","No"
"99 EXPOSURE","99 Exposure","3","3","11","2021","2022","2","1","2","1","0","New/Occasional Employer","0","0","0","0","No"
"A KID AGAIN","A Kid Again","2","2","12.88","2022","2022","1","2","1","1","0","New/Occasional Employer","0","0","0","0","No"
"A KID AGAIN SOUTHWEST OHIO","A Kid Again Southwest Ohio","1","1","17","2021","2021","1","1","1","0","0","New/Occasional Employer","0","0","0","0","No"
"A P SCHWEITZER TAX SERVICE","A P Schweitzer Tax Service","1","1","23","2025","2025","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"A1 QUALITY LOGISTICAL SOLUTIONS","A1 Quality Logistical Solutions","1","1","15","2021","2021","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"AAA CLUB ALLIANCE","AAA Club Alliance","1","1","18","2023","2023","1","1","1","1","0","New/Occasional Employer","1","1","0","0","Yes"
"AAR AIRCRAFT SERVICES","AAR Aircraft Services, Inc","2","1","16","2023","2023","1","1","1","0","0","New/Occasional Employer","0","0","0","0","No"
"ABACUS ACCOUNTING AND TAX SERVICE","Abacus Accounting and Tax Service","2","0",,"2020","2021","2","2","1","0","0","New/Occasional Employer","0","0","0","0","No"
"ABAQ AL EBDAA TRAD AND CONT","ABAQ AL EBDAA TRAD & CONT LLC","1","1","17","2023","2023","1","1","1","0","0","New/Occasional Employer","0","0","0","0","No"
"ABBOTT","Abbott","2","1","24","2023","2026","2","1","2","1","0","New/Occasional Employer","0","0","0","0","No"
"ABBVIE","AbbVie","1","1","20","2022","2022","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"ABC FITNESS SOLUTIONS","ABC Fitness Solutions","1","1","18","2025","2025","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"ABCO SAFETY","Abco Safety","1","1","16","2023","2023","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"ABERCROMBIE AND FITCH","Abercrombie & Fitch","1","1","17.3","2024","2024","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"ABRE","Abre","2","2","16.5","2020","2021","2","2","1","0","0","New/Occasional Employer","0","0","0","0","No"
"ABS TECHNOLOGY JOINT STOCK","ABS Technology Joint Stock Company","1","1","25","2026","2026","1","1","1","0","0","New/Occasional Employer","1","1","0","0","Yes"
"ABSOLUTE CONSULTING","absolute consulting","1","1","75","2020","2020","1","1","1","0","0","New/Occasional Employer","0","0","0","0","No"
"ACCENTURE","Accenture","10","10","28.4","2021","2024","4","1","7","1","0","Repeated Employer","0","0","1","1","Yes"
"ACCO BRANDS","ACCO Brands","5","5","15.5","2021","2023","3","3","1","1","0","Repeated Employer","0","0","0","0","No"
"ACKERMANN GROUP","Ackermann Group","1","1","15","2022","2022","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"ACRALOC","Acraloc","1","0",,"2022","2022","1","1","1","0","0","New/Occasional Employer","0","0","0","0","No"
"ACTIVITIES BEYOND THE CLASSROOM","Activities Beyond the Classroom","4","3","12.88","2025","2026","2","3","1","1","0","New/Occasional Employer","0","0","0","0","No"
"ADAM WORRELL STATE FARM","Adam Worrell State Farm","1","1","18","2024","2024","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"ADDEPAR","Addepar","1","1","35","2022","2022","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"ADEPT MARKETING","Adept Marketing","1","1","15","2021","2021","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"ADM","ADM","2","1","18","2023","2023","1","1","2","1","0","New/Occasional Employer","2","1","2","1","Yes"
"ADM INSIGHTS AND STRATEGY","ADM Insights & Strategy","1","1","25","2020","2020","1","1","1","0","1","New/Occasional Employer","0","0","0","0","No"
"ADOBE","Adobe","1","1","30","2023","2023","1","1","1","0","0","New/Occasional Employer","0","0","0","0","No"
"ADOBE SYSTEMS","Adobe Systems","1","1","28","2022","2022","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"ADVANTIC BUILDING GROUP","Advantic Building Group LLC","2","2","16","2025","2025","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
"ADVERTISING VEHICLES","Advertising Vehicles","2","2","15","2023","2023","1","1","1","1","0","New/Occasional Employer","0","0","0","0","No"
