Employer,Total_Hires,Avg_Hourly_Wage,Majors_Served,Industries_Served,Years_Active,Seasons_Active,Remote_Rate
1-800 WATER DAMAGE,1,17.0,1,1,1,1,0.0
1628 Ltd,10,14.5,3,2,3,3,0.0
1819 Innovation Hub,2,12.0,2,1,1,2,0.0
1N5,1,7.5,1,1,1,1,0.0
1st Day School Supplies,1,18.0,1,1,1,1,0.0
1st National Bank,3,13.666666666666666,2,1,2,2,0.0
"2060 Digital, LLC",6,22.666666666666668,2,1,3,2,0.0
2J Supply HVAC Distributor,1,17.0,1,1,1,1,0.0
3 BYT Plastic,1,17.0,1,1,1,1,0.0
360care,1,16.0,1,1,1,1,0.0
365 Wealth Management,1,15.0,1,1,1,1,0.0
380 Force Support Lodging,1,17.0,1,1,1,1,0.0
3CDC,25,15.166400000000001,7,2,6,3,0.0
4 Entertainment Group,1,15.0,1,1,1,1,0.0
4EG,1,17.0,1,1,1,1,0.0
4th Floor Creative,1,50.0,1,1,1,1,0.0
5/3rds,1,18.0,1,1,1,1,0.0
5th 3rd,1,17.0,1,1,1,1,0.0
614 Pools,1,15.0,1,1,1,1,0.0
740YCryo,1,12.0,1,1,1,1,0.0
7Hills Church,1,17.0,1,1,1,1,0.0
80 Acres Farms,4,35.75,3,1,3,3,0.0
828 Logistics,1,17.0,1,1,1,1,0.0
"828 Logistics, LLC",1,18.0,1,1,1,1,0.0
84.51Â°,40,19.35,8,2,7,3,0.0
9 Round Fitness,2,12.0,1,1,2,2,0.0
99 Exposure,3,11.0,2,2,2,1,0.0
A Kid Again,2,12.88,1,1,1,2,0.0
A Kid Again Southwest Ohio,1,17.0,1,1,1,1,0.0
A P Schweitzer Tax Service,1,23.0,1,1,1,1,0.0
A1 Quality Logistical Solutions,1,15.0,1,1,1,1,0.0
AAA Club Alliance,1,18.0,1,1,1,1,0.0
"AAR Aircraft Services, Inc",1,16.0,1,1,1,1,0.0
ABAQ AL EBDAA TRAD & CONT LLC,1,17.0,1,1,1,1,0.0
ABC Fitness Solutions,1,18.0,1,1,1,1,0.0
ABS Technology Joint Stock Company,1,25.0,1,1,1,1,0.0
ACCO Brands,5,15.5,1,1,3,3,0.0
ADM,1,18.0,1,1,1,1,0.0
ADM Insights & Strategy,1,25.0,1,1,1,1,1.0
"ADVICS Manufacturing Ohio, Inc",3,21.916666666666668,1,1,2,2,0.0
AEH Accounting,1,23.0,1,1,1,1,0.0
AFLAC,2,17.335,2,1,1,2,0.0
AGAR,5,19.6,3,2,3,2,0.0
AKRU,1,15.0,1,1,1,1,0.0
AMEND Consulting,118,18.977966101694918,14,3,7,3,0.0
AMH,1,17.0,1,1,1,1,0.0
APEX Skin,1,17.0,1,1,1,1,0.0
AR Marketing,1,17.0,1,1,1,1,0.0
ARCO/Murray Design Build,1,17.0,1,1,0,1,0.0
ARGI Financial Group,1,12.5,1,1,1,1,0.0
ASG,1,8.33,1,1,1,1,0.0
ASI Signage,1,15.0,1,1,1,1,0.0
ATLAS,1,17.0,1,1,1,1,0.0
ATLAS CPA's and Advisors,1,25.0,1,1,1,1,0.0
ATLAS CPAs & Advisors PLLC,3,17.666666666666668,2,1,2,2,0.0
"ATLAS Navigators, LLC",2,23.0,2,1,2,1,0.0
ATN Event Staffing,1,15.4,1,1,1,1,0.0
AUVECO,1,17.0,1,1,1,1,0.0
AbbVie,1,20.0,1,1,1,1,0.0
Abbott,1,24.0,1,1,1,1,0.0
Abco Safety,1,16.0,1,1,1,1,0.0
Abercrombie & Fitch,1,17.3,1,1,1,1,0.0
Abre,2,16.5,1,1,2,2,0.0
Accenture,10,28.4,7,2,4,1,0.0
Ackermann Group,1,15.0,1,1,1,1,0.0
Activities Beyond the Classroom,3,12.88,1,1,1,3,0.0
Adam Worrell State Farm,1,18.0,1,1,1,1,0.0
Addepar,1,35.0,1,1,1,1,0.0
Adept Marketing,1,15.0,1,1,1,1,0.0
Adobe,1,30.0,1,1,1,1,0.0
Adobe Systems,1,28.0,1,1,1,1,0.0
Advantic Building Group LLC,2,16.0,1,1,1,1,0.0
Advertising Vehicles,2,15.0,1,1,1,1,0.0
Advisor Guide Marketing,1,18.0,1,1,1,1,0.0
Aflac,1,18.0,1,1,1,1,0.0
Aflac - LI/NY,1,17.0,1,1,1,1,0.0
Aglaia,1,17.0,1,1,1,1,0.0
Aglamesis Brothers,1,17.3,1,1,1,1,0.0
Ahalogy,1,18.0,1,1,1,1,0.0
AirWay Technologies Inc,1,16.0,1,1,1,1,0.0
Airborne Maintenance & Engineering Services,2,16.0,1,1,1,2,0.0
Al. Neyer,19,17.526315789473685,8,2,6,3,0.0
Alaina R. Peters - University of Cincinnati (Learning Commons),1,9.3,1,1,1,1,0.0
Alcor Supply & Fixture Company,1,17.0,1,1,1,1,0.0
"Alder Holdings, LLC",1,6.67,1,1,1,1,0.0
Aletheia Digital,1,10.0,1,1,1,1,0.0
Alex & CO CPA Firm,1,18.0,1,1,1,1,0.0
Alex & Co,1,18.0,1,1,1,1,0.0
Alex & Company,1,18.0,1,1,1,1,0.0
Alex & Company CPAs,1,18.5,1,1,1,1,0.0
Alex and Company,1,18.0,1,1,1,1,0.0
Alkermes,3,18.0,2,1,2,2,0.0
Allegiant Air,1,17.0,1,1,1,1,0.0
Allegion,5,18.2,4,1,3,2,0.0
Alliance Data,1,17.0,1,1,1,1,0.0
Allied Enterprises,1,17.0,1,1,1,1,0.0
Allied Health,1,13.0,1,1,1,1,0.0
Allspring Global Investments,1,25.0,1,1,1,1,0.0
Allstate,1,15.0,1,1,1,1,0.0
Alpha,3,12.0,1,1,2,2,0.0
Alpha 1 Media Group,1,12.5,1,1,1,1,0.0
Alpine Software Group,1,6.67,1,1,1,1,0.0
Alvarez and Marsal,1,17.0,1,1,1,1,0.0
"Alveo Health, LLC",1,13.0,1,1,1,1,0.0
Alveo HealthCare Technologies,1,14.5,1,1,1,1,0.0
AmWINS Specialty Casualty Solutions,1,18.0,1,1,1,1,0.0
Amanda's Exchange,1,12.5,1,1,1,1,0.0
Amazon,17,18.46117647058824,9,2,4,2,0.0
Amazon Fulfillment,1,21.0,1,1,1,1,0.0
Amazon Web Services,2,18.0,1,1,1,2,0.0
AmeriSave,1,15.49,1,1,1,1,0.0
American Benefit Corporation,2,20.59,2,1,1,2,0.0
American Cutting Edge,1,18.0,1,1,1,1,0.0
"American Financial Group, Inc",22,20.136363636363637,6,2,5,3,0.0
American Homes 4 Rent,1,22.0,1,1,1,1,0.0
American Income Life,1,46.0,1,1,1,1,0.0
American Mobile Petroleum,1,17.0,1,1,1,1,0.0
American Modern Insurance Group,53,18.684150943396226,13,1,7,3,0.0
American Money Management,1,16.0,1,1,1,1,0.0
American Money Management Corporation,1,22.0,1,1,1,1,0.0
American Productivity & Quality Center (APQC),2,20.0,1,1,2,1,0.0
American Red Cross,1,12.88,1,1,1,1,0.0
"American Signature, Inc",1,17.0,1,1,1,1,0.0
American Spirit LLC,1,17.0,1,1,1,1,0.0
American Trailer Rental Group,3,15.666666666666666,2,1,2,3,0.0
American Trim,1,18.0,1,1,1,1,0.0
Ameriprise Financial,7,14.214285714285714,4,2,5,3,0.0
"Ameriprise Financial Services, Inc",2,16.0,1,1,2,2,0.0
Ameritas,2,16.0,2,1,1,2,0.0
Ameritas Financial Center / Central Financial Services,1,13.0,1,1,1,1,0.0
Ameritas Life Insurance Corp,14,17.071428571428573,4,1,5,3,0.0
Amira Labs,1,15.0,1,1,1,1,0.0
Amsdell Companies,1,17.0,1,1,1,1,0.0
