Employer,Total_Hires,Avg_Hourly_Wage,Majors_Served,Industries_Served,Years_Active,Seasons_Active,Remote_Rate,Cluster_Tier,Tier_Name
1-800 WATER DAMAGE,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
1628 Ltd,10,14.5,3,2,3,3,0.0,2,Core Relationship Employers
1819 Innovation Hub,2,12.0,2,1,1,2,0.0,1,Low-Engagement Employers
1N5,1,7.5,1,1,1,1,0.0,1,Low-Engagement Employers
1st Day School Supplies,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
1st National Bank,3,13.666666666666666,2,1,2,2,0.0,2,Core Relationship Employers
"2060 Digital, LLC",6,22.666666666666668,2,1,3,2,0.0,2,Core Relationship Employers
2J Supply HVAC Distributor,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
3 BYT Plastic,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
360care,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
365 Wealth Management,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
380 Force Support Lodging,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
3CDC,25,15.166400000000001,7,2,6,3,0.0,0,Strategic High-Volume Partners
4 Entertainment Group,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
4EG,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
4th Floor Creative,1,50.0,1,1,1,1,0.0,1,Low-Engagement Employers
5/3rds,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
5th 3rd,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
614 Pools,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
740YCryo,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
7Hills Church,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
80 Acres Farms,4,35.75,3,1,3,3,0.0,2,Core Relationship Employers
828 Logistics,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"828 Logistics, LLC",1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
84.51Â°,40,19.35,8,2,7,3,0.0,0,Strategic High-Volume Partners
9 Round Fitness,2,12.0,1,1,2,2,0.0,2,Core Relationship Employers
99 Exposure,3,11.0,2,2,2,1,0.0,1,Low-Engagement Employers
A Kid Again,2,12.88,1,1,1,2,0.0,1,Low-Engagement Employers
A Kid Again Southwest Ohio,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
A P Schweitzer Tax Service,1,23.0,1,1,1,1,0.0,1,Low-Engagement Employers
A1 Quality Logistical Solutions,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
AAA Club Alliance,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
"AAR Aircraft Services, Inc",1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
